,vendor_id,city_name,specialisation,successful_orders,fail_orders,reorders,dolya,id_x,model_score_x,id_y,model_score_y
573,37651,Сочи,Суши,0.0,1.0,0.0,1.0,37651,0.321812629699707,37651,0.321812629699707
574,16251,Сочи,Суши,294.0,7.0,13.0,0.022292993630573247,16251,0.00635381648316979,16251,0.00635381648316979
575,35716,Сочи,Пицца,106.0,2.0,0.0,0.018518518518518517,35716,0.519921122118831,35716,0.519921122118831
576,36866,Сочи,Суши,3.0,1.0,0.0,0.25,36866,0.009571499656885859,36866,0.009571499656885859
577,35711,Ставрополь,Бургеры,61.0,0.0,1.0,0.0,35711,0.21563827851787198,35711,0.21563827851787198
578,30560,Ставрополь,Суши,19.0,0.0,0.0,0.0,30560,0.6612350484356279,30560,0.6612350484356279
579,19186,Ставрополь,Рыба,60.0,0.0,1.0,0.0,19186,0.8023326289840039,19186,0.8023326289840039
580,35971,Ставрополь,Пицца,16.0,1.0,1.0,0.05555555555555555,35971,0.8775406572967769,35971,0.8775406572967769
581,16977,Ставрополь,Суши,242.0,5.0,6.0,0.019762845849802372,16977,0.293886877596378,16977,0.293886877596378
582,26540,Ставрополь,Суши,0.0,0.0,3.0,0.0,26540,0.36314588133245707,26540,0.36314588133245707
583,16990,Ставрополь,Суши,89.0,1.0,1.0,0.01098901098901099,16990,0.42706286441534796,16990,0.42706286441534796
584,16974,Ставрополь,Пицца,221.0,4.0,1.0,0.017699115044247787,16974,0.618309948593378,16974,0.618309948593378
585,16987,Ставрополь,Суши,235.0,6.0,8.0,0.024096385542168676,16987,0.42522932263091207,16987,0.42522932263091207
586,35710,Ставрополь,Бургеры,84.0,2.0,2.0,0.022727272727272728,35710,0.0372024648822844,35710,0.0372024648822844
587,20015,Ставрополь,Пицца,41.0,3.0,0.0,0.06818181818181818,20015,0.47038321942090994,20015,0.47038321942090994
588,37850,Ставрополь,Бургеры,0.0,0.0,0.0,,37850,0.0923133282922208,37850,0.0923133282922208
589,35751,Ставрополь,Бургеры,231.0,1.0,3.0,0.00425531914893617,35751,0.9052208159118891,35751,0.9052208159118891
590,17503,Ставрополь,Японская,185.0,0.0,1.0,0.0,17503,0.362216491717845,17503,0.362216491717845
591,37202,Стерлитамак,Бургеры,17.0,1.0,0.0,0.05555555555555555,37202,0.863595811650157,37202,0.863595811650157
592,37201,Стерлитамак,Бургеры,4.0,0.0,0.0,0.0,37201,0.602937061805278,37201,0.602937061805278
593,37550,Стерлитамак,Суши,23.0,0.0,0.0,0.0,37550,0.9100956954061991,37550,0.9100956954061991
594,17774,Сургут,Суши,58.0,2.0,2.0,0.03225806451612903,17774,0.185706407763064,17774,0.185706407763064
595,16979,Сургут,Сэндвичи,68.0,5.0,2.0,0.06666666666666667,16979,0.37090725079178793,16979,0.37090725079178793
596,27855,Сургут,Суши,234.0,7.0,5.0,0.028455284552845527,27855,0.9024529145099219,27855,0.9024529145099219
597,22935,Сургут,Суши,27.0,4.0,3.0,0.11764705882352941,22935,0.35375415813177796,22935,0.35375415813177796
598,16992,Сургут,Суши,1.0,0.0,0.0,0.0,16992,0.479988311417401,16992,0.479988311417401
599,16982,Сургут,Суши,13.0,1.0,0.0,0.07142857142857142,16982,0.0035309386439621396,16982,0.0035309386439621396
600,36511,Сургут,Пицца,21.0,1.0,1.0,0.043478260869565216,36511,0.8610172849148509,36511,0.8610172849148509
601,28793,Сургут,Пицца,17.0,1.0,0.0,0.05555555555555555,28793,0.36286025494337104,28793,0.36286025494337104
602,21592,Сургут,Суши,93.0,1.0,1.0,0.010526315789473684,21592,0.742219882085919,21592,0.742219882085919
603,37421,Сургут,Шашлыки,20.0,0.0,4.0,0.0,37421,0.07058603176847099,37421,0.07058603176847099
604,16993,Сургут,Суши,6.0,0.0,1.0,0.0,16993,0.37682131258770796,16993,0.37682131258770796
605,17780,Сургут,Суши,27.0,1.0,0.0,0.03571428571428571,17780,0.298585744109005,17780,0.298585744109005
606,22947,Сургут,Суши,31.0,2.0,2.0,0.05714285714285714,22947,0.7904871837235992,22947,0.7904871837235992
607,37172,Сургут,Бургеры,8.0,0.0,1.0,0.0,37172,0.9002460776828229,37172,0.9002460776828229
608,37567,Тверь,Пицца,16.0,1.0,1.0,0.05555555555555555,37567,0.18799745431169898,37567,0.18799745431169898
609,36434,Тверь,Пицца,184.0,2.0,2.0,0.010638297872340425,36434,0.7887464957311751,36434,0.7887464957311751
